Full,First,Last,Role
Danesha Adams,Danesha,Adams,
Michelle Akers,Michelle,Akers,
Heather Aldama,Heather,Aldama,
Yael Averbuch,Yael,Averbuch,
Samantha Baggett,Samantha,Baggett,
Nicole Barnhart,Nicole,Barnhart,
Tamie Batista,Tamie,Batista,
Justi Baumgardt,Justi,Baumgardt,
Meredith Beard,Meredith,Beard,
LaKeysia Beene,LaKeysia,Beene,
Keisha Bell,Keisha,Bell,
Denise Bender,Denise,Bender,
Jenny Benson,Jenny,Benson,
Angela Berry,Angela,Berry,
Kylie Bivens,Kylie,Bivens,
Danielle Borgman,Danielle,Borgman,
Shannon Boxx,Shannon,Boxx,
Jenni Branam,Jenni,Branam,
Morgan Brian,Morgan,Brian,
Amber Brooks,Amber,Brooks,
Leigh Ann Brown,Leigh,Ann Brown,
Jane Campbell,Jane,Campbell,
Lori Chalupny,Lori,Chalupny,
Brandi Chastain,Brandi,Chastain,
Mandy Clemens,Mandy,Clemens,
Danielle Colaprico,Danielle,Colaprico,
Ann Cook,Ann,Cook,
Stephanie Cox,Stephanie,Cox,
Aleisha Cramer,Aleisha,Cramer,
Amanda Cromwell,Amanda,Cromwell,
Abby Dahlkemper,Abby,Dahlkemper,
Tierna Davidson,Tierna,Davidson,
Christina DiMartino,Christina,DiMartino,
Marian Dougherty,Marian,Dougherty,
Tracy Ducar,Tracy,Ducar,
Crystal Dunn,Crystal,Dunn,
Danielle Egan,Danielle,Egan,
Tina Ellertson,Tina,Ellertson,
Whitney Engen,Whitney,Engen,
Julie Ertz,Julie,Ertz,
Lorrie Fair,Lorrie,Fair,
Ronnie Fair,Ronnie,Fair,
Joy Fawcett,Joy,Fawcett,
Kendall Fletcher,Kendall,Fletcher,
Danielle Fotopoulos,Danielle,Fotopoulos,
Julie Foudy,Julie,Foudy,
Emily Fox,Emily,Fox,
Adrianna Franch,Adrianna,Franch,
Michelle French,Michelle,French,
Wendy Gebauer,Wendy,Gebauer,
Amy Griffin,Amy,Griffin,
Jennifer Grubb,Jennifer,Grubb,
Sarah Hagen,Sarah,Hagen,
Linda Hamilton ,Linda,Hamilton ,
Mia Hamm,Mia,Hamm,
Haley Hanson,Haley,Hanson,
Ashlyn Harris,Ashlyn,Harris,
Mary Harvey,Mary,Harvey,
Ashley Hatch,Ashley,Hatch,
Tobin Heath,Tobin,Heath,
April Heinrichs,April,Heinrichs,
Lori Henry,Lori,Henry,
Shannon Higgins-Cirovski,Shannon,Higgins-Cirovski,
Jaelene Hinkle,Jaelene,Hinkle,
Lauren Holiday,Lauren,Holiday,
Lindsey Horan,Lindsey,Horan,
Angela Hucles,Angela,Hucles,
Sofia Huerta,Sofia,Huerta,
Carin Jennings-Gabarra,Carin,Jennings-Gabarra,
Marci Jobson,Marci,Jobson,
Natasha Kai,Natasha,Kai,
Beth Keller,Beth,Keller,
Debbie Keller,Debbie,Keller,
Angie Kerr,Angie,Kerr,
Sherrill Kester,Sherrill,Kester,
Meghan Klingenberg,Meghan,Klingenberg,
Brittany Kolmel,Brittany,Kolmel,
Ali Krieger,Ali,Krieger,
Jennifer Lalor,Jennifer,Lalor,
Rose Lavelle,Rose,Lavelle,
Tracey Leone,Tracey,Leone,
Amy LePeilbet,Amy,LePeilbet,
Sydney Leroux,Sydney,Leroux,
Gina Lewandowski,Gina,Lewandowski,
Kristine Lilly,Kristine,Lilly,
Kelly Lindsey,Kelly,Lindsey,
Lori Lindsey,Lori,Lindsey,
Carli Lloyd,Carli,Lloyd,
Joanna Lohman,Joanna,Lohman,
Allie Long,Allie,Long,
Casey Loyd,Casey,Loyd,
Jillian Loyden,Jillian,Loyden,
Kristin Luckenbill,Kristin,Luckenbill,
Hailie Mace,Hailie,Mace,
Shannon MacMillan,Shannon,MacMillan,
Holly Manthei,Holly,Manthei,
Kate Markgraf,Kate,Markgraf,
Ella Masar,Ella,Masar,
Kim Maslin-Kammerdeiner,Kim,Maslin-Kammerdeiner,
Merritt Mathias,Merritt,Mathias,
Stephanie McCaffrey,Stephanie,McCaffrey,
Savannah McCaskill,Savannah,McCaskill,
Jessica McDonald,Jessica,McDonald,
Tegan McGrady,Tegan,McGrady,
Sharon McMurtry,Sharon,McMurtry,
Kristie Mewis,Kristie,Mewis,
Sam Mewis,Sam,Mewis,
Tiffeny Milbrett,Tiffeny,Milbrett,
Heather Mitts,Heather,Mitts,
Mary-Frances Monroe,Mary-Frances,Monroe,
Alex Morgan,Alex,Morgan,
Cindy Mosley,Cindy,Mosley,
Siri Mullinix,Siri,Mullinix,
Alyssa Naeher,Alyssa,Naeher,
Christine Nairn,Christine,Nairn,
Kealia Ohai,Kealia,Ohai,
Kelley O'Hara,Kelley,O'Hara,
Heather O'Reilly,Heather,O'Reilly,
Ann Orrison,Ann,Orrison,
Leslie Osborne,Leslie,Osborne,
Carla Overbeck,Carla,Overbeck,
Megan Oyster,Megan,Oyster,
Cindy Parlow Cone,Cindy,Parlow Cone,
Christie Pearce,Christie,Pearce,
Emily Pickering,Emily,Pickering,
Christen Press,Christen,Press,
Mallory Pugh,Mallory,Pugh,
Debbie Rademacher,Debbie,Rademacher,
Sarah Rafanelli,Sarah,Rafanelli,
Megan Rapinoe,Megan,Rapinoe,
Tiffany Roberts,Tiffany,Roberts,
Amy Rodriguez,Amy,Rodriguez,
Becky Sauerbrunn,Becky,Sauerbrunn,
Briana Scurry,Briana,Scurry,
Nikki Serlenga,Nikki,Serlenga,
Casey Short,Casey,Short,
Danielle Slaton,Danielle,Slaton,
Taylor Smith ,Taylor,Smith ,
Hope Solo,Hope,Solo,
Emily Sonnett,Emily,Sonnett,
Thori Staples Bryan,Thori,Staples Bryan,
Andi Sullivan,Andi,Sullivan,
Lindsay Tarpley,Lindsay,Tarpley,
India Trotter,India,Trotter,
Erika Tymrak,Erika,Tymrak,
Rachel Van Hollebeke,Rachel,Van Hollebeke,
Tisha Venturini,Tisha,Venturini,
Aly Wagner,Aly,Wagner,
Abby Wambach,Abby,Wambach,
Saskia Webber,Saskia,Webber,
Sara Whalen,Sara,Whalen,
Cat Whitehill,Cat,Whitehill,
Lynn Williams,Lynn,Williams,
Staci Wilson,Staci,Wilson,
Kim Wyant,Kim,Wyant,
McCall Zerboni,McCall,Zerboni,
Anson Dorrance,Anson,Dorrance,Coach
Tony DiCicco,Tony,DiCicco,Coach
April Heinrichs,April,Heinrichs,Coach
Greg Ryan,Greg,Ryan,Coach
Pia Sundhage,Pia,Sundhage,Coach
Jill Ellis,Jill,Ellis,Coach